epoch,train_error,val_error
387,0.050762,0.054327
388,0.050757,0.054322
389,0.050752,0.054317
390,0.050748,0.054312
391,0.050743,0.054307
392,0.050739,0.054301
393,0.050734,0.054296
394,0.050730,0.054291
395,0.050725,0.054286
396,0.050721,0.054282
397,0.050717,0.054277
398,0.050712,0.054272
399,0.050708,0.054267
400,0.050704,0.054262
401,0.050700,0.054257
402,0.050696,0.054253
403,0.050691,0.054248
404,0.050687,0.054243
405,0.050683,0.054239
406,0.050679,0.054234
407,0.050676,0.054229
408,0.050672,0.054225
409,0.050668,0.054220
410,0.050664,0.054216
411,0.050660,0.054211
412,0.050656,0.054207
413,0.050653,0.054203
414,0.050649,0.054198
415,0.050645,0.054194
416,0.050642,0.054190
417,0.050638,0.054185
418,0.050635,0.054181
419,0.050631,0.054177
420,0.050628,0.054173
421,0.050624,0.054168
422,0.050621,0.054164
423,0.050618,0.054160
424,0.050614,0.054156
425,0.050611,0.054152
426,0.050608,0.054148
427,0.050604,0.054144
428,0.050601,0.054140
429,0.050598,0.054136
430,0.050595,0.054132
431,0.050592,0.054128
432,0.050589,0.054124
433,0.050586,0.054120
434,0.050583,0.054116
435,0.050579,0.054112
436,0.050576,0.054108
437,0.050574,0.054105
438,0.050571,0.054101
439,0.050568,0.054097
440,0.050565,0.054093
441,0.050562,0.054090
442,0.050559,0.054086
443,0.050556,0.054082
444,0.050554,0.054079
445,0.050551,0.054075
446,0.050548,0.054071
447,0.050545,0.054068
448,0.050543,0.054064
449,0.050540,0.054061
450,0.050537,0.054057
451,0.050535,0.054053
452,0.050532,0.054050
453,0.050530,0.054046
454,0.050527,0.054043
455,0.050524,0.054040
456,0.050522,0.054036
457,0.050519,0.054033
458,0.050517,0.054029
459,0.050515,0.054026
460,0.050512,0.054023
461,0.050510,0.054019
462,0.050507,0.054016
463,0.050505,0.054013
464,0.050503,0.054009
465,0.050500,0.054006
466,0.050498,0.054003
467,0.050496,0.054000
468,0.050494,0.053996
469,0.050491,0.053993
470,0.050489,0.053990
471,0.050487,0.053987
472,0.050485,0.053984
473,0.050483,0.053980
474,0.050481,0.053977
475,0.050478,0.053974
476,0.050476,0.053971
477,0.050474,0.053968
478,0.050472,0.053965
479,0.050470,0.053962
480,0.050468,0.053959
481,0.050466,0.053956
482,0.050464,0.053953
483,0.050462,0.053950
484,0.050460,0.053947
485,0.050458,0.053944
486,0.050456,0.053941
487,0.050454,0.053938
488,0.050452,0.053935
489,0.050451,0.053932
490,0.050449,0.053929
491,0.050447,0.053926
492,0.050445,0.053924
493,0.050443,0.053921
494,0.050441,0.053918
495,0.050440,0.053915
496,0.050438,0.053912
497,0.050436,0.053909
498,0.050434,0.053907
499,0.050433,0.053904
500,0.050431,0.053901
501,0.050429,0.053898
502,0.050428,0.053896
503,0.050426,0.053893
504,0.050424,0.053890
505,0.050423,0.053888
506,0.050421,0.053885
507,0.050419,0.053882
508,0.050418,0.053880
509,0.050416,0.053877
510,0.050415,0.053874
511,0.050413,0.053872
512,0.050411,0.053869
513,0.050410,0.053866
514,0.050408,0.053864
515,0.050407,0.053861
516,0.050405,0.053859
517,0.050404,0.053856
518,0.050402,0.053854
519,0.050401,0.053851
520,0.050399,0.053848
521,0.050398,0.053846
522,0.050397,0.053843
523,0.050395,0.053841
524,0.050394,0.053839
525,0.050392,0.053836
526,0.050391,0.053834
527,0.050390,0.053831
528,0.050388,0.053829
529,0.050387,0.053826
530,0.050386,0.053824
531,0.050384,0.053821
532,0.050383,0.053819
533,0.050382,0.053817
534,0.050380,0.053814
535,0.050379,0.053812
536,0.050378,0.053810
537,0.050377,0.053807
538,0.050375,0.053805
539,0.050374,0.053803
540,0.050373,0.053800
541,0.050372,0.053798
542,0.050370,0.053796
543,0.050369,0.053793
544,0.050368,0.053791
545,0.050367,0.053789
546,0.050366,0.053787
547,0.050364,0.053784
548,0.050363,0.053782
549,0.050362,0.053780
550,0.050361,0.053778
551,0.050360,0.053775
552,0.050359,0.053773
553,0.050358,0.053771
554,0.050357,0.053769
555,0.050355,0.053767
556,0.050354,0.053765
557,0.050353,0.053762
558,0.050352,0.053760
559,0.050351,0.053758
560,0.050350,0.053756
561,0.050349,0.053754
562,0.050348,0.053752
563,0.050347,0.053750
564,0.050346,0.053748
565,0.050345,0.053745
566,0.050344,0.053743
567,0.050343,0.053741
568,0.050342,0.053739
569,0.050341,0.053737
570,0.050340,0.053735
571,0.050339,0.053733
572,0.050338,0.053731
573,0.050337,0.053729
574,0.050336,0.053727
575,0.050335,0.053725
576,0.050334,0.053723
577,0.050334,0.053721
578,0.050333,0.053719
579,0.050332,0.053717
580,0.050331,0.053715
581,0.050330,0.053713
582,0.050329,0.053711
583,0.050328,0.053709
584,0.050327,0.053707
585,0.050326,0.053705
586,0.050326,0.053703
587,0.050325,0.053701
588,0.050324,0.053700
589,0.050323,0.053698
590,0.050322,0.053696
591,0.050321,0.053694
592,0.050321,0.053692
593,0.050320,0.053690
594,0.050319,0.053688
595,0.050318,0.053686
596,0.050317,0.053685
597,0.050317,0.053683
598,0.050316,0.053681
599,0.050315,0.053679
600,0.050314,0.053677
601,0.050314,0.053675
602,0.050313,0.053674
603,0.050312,0.053672
604,0.050311,0.053670
605,0.050311,0.053668
606,0.050310,0.053666
607,0.050309,0.053665
608,0.050308,0.053663
609,0.050308,0.053661
610,0.050307,0.053659
611,0.050306,0.053658
612,0.050306,0.053656
613,0.050305,0.053654
614,0.050304,0.053652
615,0.050304,0.053651
616,0.050303,0.053649
617,0.050302,0.053647
618,0.050302,0.053645
619,0.050301,0.053644
620,0.050300,0.053642
621,0.050300,0.053640
622,0.050299,0.053639
623,0.050298,0.053637
624,0.050298,0.053635
625,0.050297,0.053634
626,0.050296,0.053632
627,0.050296,0.053630
628,0.050295,0.053629
629,0.050295,0.053627
630,0.050294,0.053625
631,0.050293,0.053624
632,0.050293,0.053622
633,0.050292,0.053621
634,0.050292,0.053619
635,0.050291,0.053617
636,0.050290,0.053616
637,0.050290,0.053614
638,0.050289,0.053613
639,0.050289,0.053611
640,0.050288,0.053609
641,0.050288,0.053608
642,0.050287,0.053606
643,0.050287,0.053605
644,0.050286,0.053603
645,0.050285,0.053602
646,0.050285,0.053600
647,0.050284,0.053599
648,0.050284,0.053597
649,0.050283,0.053595
650,0.050283,0.053594
651,0.050282,0.053592
652,0.050282,0.053591
653,0.050281,0.053589
654,0.050281,0.053588
655,0.050280,0.053586
656,0.050280,0.053585
657,0.050279,0.053583
658,0.050279,0.053582
659,0.050278,0.053580
660,0.050278,0.053579
661,0.050277,0.053578
662,0.050277,0.053576
663,0.050276,0.053575
664,0.050276,0.053573
665,0.050276,0.053572
666,0.050275,0.053570
667,0.050275,0.053569
668,0.050274,0.053567
669,0.050274,0.053566
670,0.050273,0.053565
671,0.050273,0.053563
672,0.050272,0.053562
673,0.050272,0.053560
674,0.050271,0.053559
